TRIREDRAFT_102382	K01069
TRIREDRAFT_122745	K00167
TRIREDRAFT_122774	K23948
TRIREDRAFT_122780	K01213
TRIREDRAFT_122811	K01915
TRIREDRAFT_122819	K10734
TRIREDRAFT_122820	K14264
TRIREDRAFT_122828	K10524
TRIREDRAFT_122841	K19983
TRIREDRAFT_122846	K18995
TRIREDRAFT_122857	K17081
TRIREDRAFT_122860	K22911
TRIREDRAFT_122868	K00003
TRIREDRAFT_122872	K10704
TRIREDRAFT_122882	K26216
TRIREDRAFT_122886	K07375
TRIREDRAFT_122900	K27906
TRIREDRAFT_122903	K17788
TRIREDRAFT_122909	K03235
TRIREDRAFT_122920	K09490
TRIREDRAFT_122956	K02978
TRIREDRAFT_122960	K02433
TRIREDRAFT_122963	K00276
TRIREDRAFT_122972	K01536
TRIREDRAFT_122987	K00161
TRIREDRAFT_122988	K05665
TRIREDRAFT_122993	K00752
TRIREDRAFT_122994	K26681
TRIREDRAFT_123008	K01824
TRIREDRAFT_123013	K19801
TRIREDRAFT_123026	K00616
TRIREDRAFT_123029	K04565
TRIREDRAFT_123071	K02133
TRIREDRAFT_123090	K23114
TRIREDRAFT_123111	K17917
TRIREDRAFT_123114	K04079
TRIREDRAFT_123120	K08192
TRIREDRAFT_123124	K08286
TRIREDRAFT_123145	K02880
TRIREDRAFT_123149	K07078
TRIREDRAFT_123158	K08489
TRIREDRAFT_123163	K12391
TRIREDRAFT_123164	K03108
TRIREDRAFT_123174	K00058
TRIREDRAFT_123176	K02870
TRIREDRAFT_123180	K01875
TRIREDRAFT_123183	K13526
TRIREDRAFT_123185	K10357
TRIREDRAFT_123198	K00235
TRIREDRAFT_123202	K02943
TRIREDRAFT_123220	K03002
TRIREDRAFT_123223	K01620
TRIREDRAFT_123226	K01194
TRIREDRAFT_123228	K04646
TRIREDRAFT_123232	K18576
TRIREDRAFT_123244	K01336
TRIREDRAFT_123251	K05916
TRIREDRAFT_123274	K00128
TRIREDRAFT_123283	K20844
TRIREDRAFT_123288	K00854
TRIREDRAFT_123290	K12041
TRIREDRAFT_123293	K05658
TRIREDRAFT_123302	K04630
TRIREDRAFT_123313	K08269
TRIREDRAFT_123324	K03361
TRIREDRAFT_123325	K14715
TRIREDRAFT_123344	K11232
TRIREDRAFT_123364	K15283
TRIREDRAFT_123368	K00700
TRIREDRAFT_123382	K00228
TRIREDRAFT_123408	K18584
TRIREDRAFT_123422	K20360
TRIREDRAFT_123457	K01937
TRIREDRAFT_123459	K07241
TRIREDRAFT_123468	K00459
TRIREDRAFT_123471	K01655
TRIREDRAFT_123493	K10661
TRIREDRAFT_123538	K22836
TRIREDRAFT_123541	K15109
TRIREDRAFT_123550	K00463
TRIREDRAFT_123554	K18342
TRIREDRAFT_123556	K19850
TRIREDRAFT_123559	K10579
TRIREDRAFT_123561	K01341
TRIREDRAFT_123562	K17919
TRIREDRAFT_123572	K01062
TRIREDRAFT_123577	K10976
TRIREDRAFT_123588	K07152
TRIREDRAFT_123598	K14308
TRIREDRAFT_123604	K02959
TRIREDRAFT_123611	K16261
TRIREDRAFT_123618	K07023
TRIREDRAFT_123619	K11314
TRIREDRAFT_123627	K10251
TRIREDRAFT_123631	K00293
TRIREDRAFT_123633	K00641
TRIREDRAFT_123636	K11244
TRIREDRAFT_123655	K00915
TRIREDRAFT_123659	K26550
TRIREDRAFT_123673	K21440
TRIREDRAFT_123681	K06123
TRIREDRAFT_123690	K12877
TRIREDRAFT_123695	K02864
TRIREDRAFT_123705	K00012
TRIREDRAFT_123714	K01673
TRIREDRAFT_123720	K07513
TRIREDRAFT_123729	K00026
TRIREDRAFT_123735	K17686
TRIREDRAFT_123738	K01476
TRIREDRAFT_123753	K02977
TRIREDRAFT_123758	K00591
TRIREDRAFT_123767	K12196
TRIREDRAFT_123771	K00252
TRIREDRAFT_123773	K06689
TRIREDRAFT_123779	K13172
TRIREDRAFT_123795	K01466
TRIREDRAFT_123801	K22503
TRIREDRAFT_123805	K01497
TRIREDRAFT_123818	K01181
TRIREDRAFT_123820	K00826
TRIREDRAFT_123827	K03782
TRIREDRAFT_123832	K14002
TRIREDRAFT_123837	K16575
TRIREDRAFT_123850	K02942
TRIREDRAFT_123860	K12580
TRIREDRAFT_123865	K01279
TRIREDRAFT_123882	K16572
TRIREDRAFT_123884	K15407
TRIREDRAFT_123890	K16948
TRIREDRAFT_123900	K02996
TRIREDRAFT_123902	K03233
TRIREDRAFT_123922	K03768
TRIREDRAFT_123934	K22140
TRIREDRAFT_123940	K25010
TRIREDRAFT_123951	K20724
TRIREDRAFT_123965	K20042
TRIREDRAFT_123969	K17415
TRIREDRAFT_123974	K17302
TRIREDRAFT_123978	K17066
TRIREDRAFT_123979	K19245
TRIREDRAFT_123989	K01225
TRIREDRAFT_124001	K01102
TRIREDRAFT_124010	K02872
TRIREDRAFT_124016	K07407
TRIREDRAFT_124031	K02728
TRIREDRAFT_124043	K01183
TRIREDRAFT_124052	K11251
TRIREDRAFT_124094	K17803
TRIREDRAFT_124104	K24810
TRIREDRAFT_124110	K02936
TRIREDRAFT_124115	K01610
TRIREDRAFT_124117	K03115
TRIREDRAFT_124132	K12200
TRIREDRAFT_124148	K00418
TRIREDRAFT_124149	K11129
TRIREDRAFT_124158	K20791
TRIREDRAFT_124172	K08818
TRIREDRAFT_124174	K10598
TRIREDRAFT_124179	K06655
TRIREDRAFT_124181	K27320
TRIREDRAFT_124187	K13989
TRIREDRAFT_124195	K22068
TRIREDRAFT_124205	K15201
TRIREDRAFT_124206	K02946
TRIREDRAFT_124210	K11253
TRIREDRAFT_124222	K08658
TRIREDRAFT_124228	K00698
TRIREDRAFT_124234	K17261
TRIREDRAFT_124256	K13333
TRIREDRAFT_124285	K11087
TRIREDRAFT_124286	K08064
TRIREDRAFT_124301	K08066
TRIREDRAFT_124302	K11233
TRIREDRAFT_124304	K02879
TRIREDRAFT_124306	K17808
TRIREDRAFT_124314	K02885
TRIREDRAFT_124317	K12619
TRIREDRAFT_124319	K01874
TRIREDRAFT_124321	K12815
TRIREDRAFT_124322	K23498
TRIREDRAFT_124327	K15378
TRIREDRAFT_124330	K17430
TRIREDRAFT_124332	K01885
TRIREDRAFT_124333	K15025
TRIREDRAFT_124340	K01768
TRIREDRAFT_1692	K02892
TRIREDRAFT_1702	K02331
TRIREDRAFT_1847	K15176
TRIREDRAFT_1885	K01178
TRIREDRAFT_1912	K25216
TRIREDRAFT_1925	K19703
TRIREDRAFT_19432	K07300
TRIREDRAFT_1947	K03872
TRIREDRAFT_1949	K23518
TRIREDRAFT_1959	K17623
TRIREDRAFT_1983	K07575
TRIREDRAFT_1992	K06950
TRIREDRAFT_1993	K00147
TRIREDRAFT_2036	K18123
TRIREDRAFT_2050	K03260
TRIREDRAFT_2068	K08158
TRIREDRAFT_2087	K12586
TRIREDRAFT_2089	K12780
TRIREDRAFT_2091	K00850
TRIREDRAFT_2095	K02327
TRIREDRAFT_2108	K23719
TRIREDRAFT_21117	K15042
TRIREDRAFT_21120	K01796
TRIREDRAFT_21135	K19717
TRIREDRAFT_21152	K15177
TRIREDRAFT_21166	K12662
TRIREDRAFT_21168	K08294
TRIREDRAFT_21170	K02951
TRIREDRAFT_21174	K15198
TRIREDRAFT_21176	K14770
TRIREDRAFT_21181	K09554
TRIREDRAFT_21193	K13354
TRIREDRAFT_21198	K14397
TRIREDRAFT_21211	K09413
TRIREDRAFT_21214	K21996
TRIREDRAFT_21215	K26244
TRIREDRAFT_21221	K20407
TRIREDRAFT_21246	K14016
TRIREDRAFT_2125	K19030
TRIREDRAFT_21250	K11338
TRIREDRAFT_21256	K01102
TRIREDRAFT_21278	K03538
TRIREDRAFT_21288	K12481
TRIREDRAFT_21306	K08827
TRIREDRAFT_21324	K03456
TRIREDRAFT_21330	K14400
TRIREDRAFT_21342	K23788
TRIREDRAFT_21358	K18724
TRIREDRAFT_21363	K03177
TRIREDRAFT_21373	K08838
TRIREDRAFT_21388	K14817
TRIREDRAFT_21392	K27384
TRIREDRAFT_21398	K22746
TRIREDRAFT_21406	K00927
TRIREDRAFT_21425	K12812
TRIREDRAFT_21426	K21197
TRIREDRAFT_21435	K00762
TRIREDRAFT_21437	K16569
TRIREDRAFT_21441	K13341
TRIREDRAFT_21453	K14806
TRIREDRAFT_21460	K08734
TRIREDRAFT_21461	K01338
TRIREDRAFT_21498	K26683
TRIREDRAFT_21505	K04630
TRIREDRAFT_21534	K11778
TRIREDRAFT_21535	K02137
TRIREDRAFT_21542	K11304
TRIREDRAFT_21549	K15323
TRIREDRAFT_21553	K18914
TRIREDRAFT_21557	K11649
TRIREDRAFT_21564	K03253
TRIREDRAFT_21576	K10967
TRIREDRAFT_21588	K17086
TRIREDRAFT_21595	K08157
TRIREDRAFT_21606	K03964
TRIREDRAFT_21609	K00411
TRIREDRAFT_21618	K12859
TRIREDRAFT_21646	K17095
TRIREDRAFT_21653	K10732
TRIREDRAFT_21658	K02934
TRIREDRAFT_21659	K01277
TRIREDRAFT_21663	K01240
TRIREDRAFT_21673	K02132
TRIREDRAFT_21677	K13174
TRIREDRAFT_21716	K00925
TRIREDRAFT_21725	K12373
TRIREDRAFT_2173	K18798
TRIREDRAFT_21742	K07375
TRIREDRAFT_21743	K08266
TRIREDRAFT_21749	K25817
TRIREDRAFT_21752	K12562
TRIREDRAFT_21758	K01637
TRIREDRAFT_21773	K09539
TRIREDRAFT_21775	K22531
TRIREDRAFT_21782	K06944
TRIREDRAFT_21784	K13206
TRIREDRAFT_21836	K01835
TRIREDRAFT_21873	K01687
TRIREDRAFT_21890	K02912
TRIREDRAFT_21924	K14306
TRIREDRAFT_21937	K09503
TRIREDRAFT_21957	K01958
TRIREDRAFT_21960	K01114
TRIREDRAFT_21972	K11099
TRIREDRAFT_22004	K19634
TRIREDRAFT_22005	K00728
TRIREDRAFT_22050	K17967
TRIREDRAFT_22064	K09510
TRIREDRAFT_22072	K01228
TRIREDRAFT_22093	K05955
TRIREDRAFT_2211	K17100
TRIREDRAFT_22115	K28005
TRIREDRAFT_22117	K11446
TRIREDRAFT_22119	K13025
TRIREDRAFT_22143	K11883
TRIREDRAFT_22148	K00654
TRIREDRAFT_22154	K22766
TRIREDRAFT_22164	K09523
TRIREDRAFT_22191	K09498
TRIREDRAFT_22210	K08637
TRIREDRAFT_22221	K03126
TRIREDRAFT_2223	K01899
TRIREDRAFT_22245	K22723
TRIREDRAFT_22251	K15109
TRIREDRAFT_22252	K01230
TRIREDRAFT_22264	K14782
TRIREDRAFT_22277	K23503
TRIREDRAFT_22287	K15542
TRIREDRAFT_22294	K24983
TRIREDRAFT_22300	K02146
TRIREDRAFT_22314	K16938
TRIREDRAFT_22332	K11097
TRIREDRAFT_22341	K16732
TRIREDRAFT_22351	K10080
TRIREDRAFT_22375	K21544
TRIREDRAFT_22381	K23785
TRIREDRAFT_22402	K22685
TRIREDRAFT_2241	K23612
TRIREDRAFT_22415	K01792
TRIREDRAFT_22464	K14338
TRIREDRAFT_22466	K17086
TRIREDRAFT_22472	K11092
TRIREDRAFT_22481	K00101
TRIREDRAFT_22489	K03521
TRIREDRAFT_22492	K14967
TRIREDRAFT_22496	K03021
TRIREDRAFT_22515	K15442
TRIREDRAFT_22527	K00728
TRIREDRAFT_22531	K18467
TRIREDRAFT_22532	K21452
TRIREDRAFT_22538	K20179
TRIREDRAFT_22560	K14001
TRIREDRAFT_22563	K13342
TRIREDRAFT_22598	K13217
TRIREDRAFT_22608	K15040
TRIREDRAFT_22611	K14561
TRIREDRAFT_22618	K11888
TRIREDRAFT_22632	K17450
TRIREDRAFT_22633	K00121
TRIREDRAFT_22637	K10570
TRIREDRAFT_22645	K03355
TRIREDRAFT_22647	K13110
TRIREDRAFT_22660	K12864
TRIREDRAFT_22667	K14827
TRIREDRAFT_22689	K14843
TRIREDRAFT_2269	K06674
TRIREDRAFT_22705	K01427
TRIREDRAFT_22707	K00237
TRIREDRAFT_22712	K26403
TRIREDRAFT_22713	K12852
TRIREDRAFT_22718	K00683
TRIREDRAFT_22731	K08334
TRIREDRAFT_22737	K02140
TRIREDRAFT_22741	K00135
TRIREDRAFT_22771	K25879
TRIREDRAFT_22783	K15165
TRIREDRAFT_22798	K01597
TRIREDRAFT_22799	K01952
TRIREDRAFT_22804	K01886
TRIREDRAFT_22816	K03936
TRIREDRAFT_22826	K00948
TRIREDRAFT_22830	K00799
TRIREDRAFT_22839	K06158
TRIREDRAFT_22863	K20521
TRIREDRAFT_22874	K16945
TRIREDRAFT_22879	K01078
TRIREDRAFT_22881	K10747
TRIREDRAFT_22885	K07555
TRIREDRAFT_22891	K10580
TRIREDRAFT_22910	K01899
TRIREDRAFT_22911	K12603
TRIREDRAFT_22914	K22832
TRIREDRAFT_22945	K00761
TRIREDRAFT_22994	K13525
TRIREDRAFT_23001	K20288
TRIREDRAFT_23028	K21864
TRIREDRAFT_23034	K08272
TRIREDRAFT_23050	K12620
TRIREDRAFT_23059	K02898
TRIREDRAFT_23063	K12193
TRIREDRAFT_23118	K12855
TRIREDRAFT_23152	K14617
TRIREDRAFT_23154	K23358
TRIREDRAFT_2316	K17991
TRIREDRAFT_23181	K12879
TRIREDRAFT_23184	K05824
TRIREDRAFT_23190	K14399
TRIREDRAFT_23193	K20221
TRIREDRAFT_23200	K01624
TRIREDRAFT_23206	K03065
TRIREDRAFT_23208	K14824
TRIREDRAFT_23221	K14950
TRIREDRAFT_23237	K00772
TRIREDRAFT_23263	K07941
TRIREDRAFT_23271	K20366
TRIREDRAFT_23295	K15105
TRIREDRAFT_23297	K23679
TRIREDRAFT_23298	K01736
TRIREDRAFT_23316	K17279
TRIREDRAFT_23323	K14851
TRIREDRAFT_23327	K14857
TRIREDRAFT_23338	K22377
TRIREDRAFT_23346	K12373
TRIREDRAFT_23363	K20120
TRIREDRAFT_23368	K10531
TRIREDRAFT_23382	K15303
TRIREDRAFT_23413	K01082
TRIREDRAFT_23415	K16261
TRIREDRAFT_23417	K14394
TRIREDRAFT_23420	K17080
TRIREDRAFT_23431	K00417
TRIREDRAFT_23446	K02537
TRIREDRAFT_23452	K27407
TRIREDRAFT_23489	K15263
TRIREDRAFT_2358	K01522
TRIREDRAFT_2369	K15711
TRIREDRAFT_2373	K11667
TRIREDRAFT_2374	K11672
TRIREDRAFT_2392	K14729
TRIREDRAFT_2439	K05754
TRIREDRAFT_24586	K22118
TRIREDRAFT_2474	K22913
TRIREDRAFT_2476	K02149
TRIREDRAFT_2489	K01166
TRIREDRAFT_2501	K00286
TRIREDRAFT_25018	K11380
TRIREDRAFT_2508	K09494
TRIREDRAFT_25159	K19806
TRIREDRAFT_2521	K00273
TRIREDRAFT_25225	K10754
TRIREDRAFT_2526	K02677
TRIREDRAFT_2529	K02950
TRIREDRAFT_2537	K12462
TRIREDRAFT_2561	K15292
TRIREDRAFT_25703	K06676
TRIREDRAFT_25739	K16073
TRIREDRAFT_2574	K00006
TRIREDRAFT_2583	K08681
TRIREDRAFT_2591	K19306
TRIREDRAFT_2599	K20316
TRIREDRAFT_26029	K14805
TRIREDRAFT_26214	K11547
TRIREDRAFT_26277	K06100
TRIREDRAFT_2629	K07305
TRIREDRAFT_2634	K09827
TRIREDRAFT_2648	K24029
TRIREDRAFT_26575	K15196
TRIREDRAFT_2660	K05757
TRIREDRAFT_2662	K23741
TRIREDRAFT_2666	K15160
TRIREDRAFT_26746	K26979
TRIREDRAFT_26787	K12404
TRIREDRAFT_2687	K03695
TRIREDRAFT_2698	K05770
TRIREDRAFT_27025	K08287
TRIREDRAFT_2707	K03349
TRIREDRAFT_27085	K14786
TRIREDRAFT_2716	K11108
TRIREDRAFT_2721	K13171
TRIREDRAFT_27219	K07407
TRIREDRAFT_27259	K07407
TRIREDRAFT_2735	K01183
TRIREDRAFT_27384	K03360
TRIREDRAFT_27398	K02604
TRIREDRAFT_27406	K06639
TRIREDRAFT_27422	K11594
TRIREDRAFT_2745	K01679
TRIREDRAFT_27492	K06173
TRIREDRAFT_2759	K10590
TRIREDRAFT_27697	K01426
TRIREDRAFT_2790	K01881
TRIREDRAFT_27939	K08139
TRIREDRAFT_28050	K01930
TRIREDRAFT_28159	K02257
TRIREDRAFT_28199	K17496
TRIREDRAFT_2826	K14439
TRIREDRAFT_2830	K23166
TRIREDRAFT_2835	K15627
TRIREDRAFT_2845	K04640
TRIREDRAFT_2869	K15541
TRIREDRAFT_28781	K12769
TRIREDRAFT_28865	K23314
TRIREDRAFT_28928	K09584
TRIREDRAFT_29108	K18573
TRIREDRAFT_2912	K12345
TRIREDRAFT_29220	K03680
TRIREDRAFT_2956	K10592
TRIREDRAFT_29568	K15564
TRIREDRAFT_29619	K17095
TRIREDRAFT_29642	K01613
TRIREDRAFT_29709	K26392
TRIREDRAFT_29713	K19308
TRIREDRAFT_29716	K15289
TRIREDRAFT_29756	K15278
TRIREDRAFT_2981	K11390
TRIREDRAFT_2987	K10415
TRIREDRAFT_3001	K14837
TRIREDRAFT_3007	K27246
TRIREDRAFT_30144	K01082
TRIREDRAFT_3027	K15340
TRIREDRAFT_30274	K14765
TRIREDRAFT_30275	K21141
TRIREDRAFT_30330	K22825
TRIREDRAFT_30455	K12275
TRIREDRAFT_3049	K01265
TRIREDRAFT_30578	K10773
TRIREDRAFT_30635	K25178
TRIREDRAFT_30776	K19245
TRIREDRAFT_30805	K10773
TRIREDRAFT_3094	K22276
TRIREDRAFT_3101	K03434
TRIREDRAFT_31118	K22817
TRIREDRAFT_31134	K00587
TRIREDRAFT_31248	K01166
TRIREDRAFT_3129	K15462
TRIREDRAFT_31481	K09529
TRIREDRAFT_31551	K06210
TRIREDRAFT_31559	K03539
TRIREDRAFT_31611	K17782
TRIREDRAFT_31733	K10578
TRIREDRAFT_31869	K06210
TRIREDRAFT_3196	K01191
TRIREDRAFT_31976	K02933
TRIREDRAFT_32002	K15456
TRIREDRAFT_3208	K08736
TRIREDRAFT_3212	K02210
TRIREDRAFT_32261	K20815
TRIREDRAFT_32364	K23978
TRIREDRAFT_32402	K22119
TRIREDRAFT_32473	K17402
TRIREDRAFT_32543	K15364
TRIREDRAFT_32747	K17656
TRIREDRAFT_32755	K17656
TRIREDRAFT_33085	K03134
TRIREDRAFT_33090	K17619
TRIREDRAFT_33197	K19054
TRIREDRAFT_33207	K07232
TRIREDRAFT_33263	K09702
TRIREDRAFT_3333	K00344
TRIREDRAFT_33342	K12668
TRIREDRAFT_33359	K24272
TRIREDRAFT_3340	K08490
TRIREDRAFT_3345	K12832
TRIREDRAFT_33475	K22139
TRIREDRAFT_3350	K01922
TRIREDRAFT_33586	K02134
TRIREDRAFT_3362	K13711
TRIREDRAFT_33637	K20303
TRIREDRAFT_33660	K11270
TRIREDRAFT_33692	K02903
TRIREDRAFT_33704	K03133
TRIREDRAFT_3372	K18550
TRIREDRAFT_33728	K04797
TRIREDRAFT_33815	K13107
TRIREDRAFT_33840	K11567
TRIREDRAFT_33895	K09569
TRIREDRAFT_3394	K14789
TRIREDRAFT_33960	K04798
TRIREDRAFT_34079	K11088
TRIREDRAFT_34112	K02891
TRIREDRAFT_34149	K12626
TRIREDRAFT_3419	K12819
TRIREDRAFT_34197	K22066
TRIREDRAFT_34280	K17968
TRIREDRAFT_34306	K18187
TRIREDRAFT_34327	K03959
TRIREDRAFT_34378	K02272
TRIREDRAFT_3462	K03188
TRIREDRAFT_3464	K00249
TRIREDRAFT_34985	K00558
TRIREDRAFT_35183	K17974
TRIREDRAFT_35202	K11701
TRIREDRAFT_3525	K20280
TRIREDRAFT_35316	K15458
TRIREDRAFT_35375	K20176
TRIREDRAFT_35465	K09486
TRIREDRAFT_35522	K01490
TRIREDRAFT_35556	K11269
TRIREDRAFT_3568	K01062
TRIREDRAFT_35777	K26731
TRIREDRAFT_3579	K14780
TRIREDRAFT_3591	K01433
TRIREDRAFT_3596	K01749
TRIREDRAFT_3600	K00995
TRIREDRAFT_36006	K28035
TRIREDRAFT_36134	K08876
TRIREDRAFT_36159	K10736
TRIREDRAFT_36391	K21543
TRIREDRAFT_3641	K01739
TRIREDRAFT_3653	K00658
TRIREDRAFT_36543	K11215
TRIREDRAFT_3671	K11128
TRIREDRAFT_36941	K14809
TRIREDRAFT_37060	K08284
TRIREDRAFT_37067	K22733
TRIREDRAFT_3707	K12600
TRIREDRAFT_3717	K18123
TRIREDRAFT_3718	K20498
TRIREDRAFT_37262	K11971
TRIREDRAFT_37368	K17900
TRIREDRAFT_3739	K01198
TRIREDRAFT_3741	K18179
TRIREDRAFT_37593	K03979
TRIREDRAFT_3765	K09885
TRIREDRAFT_37761	K12837
TRIREDRAFT_3779	K02324
TRIREDRAFT_37833	K10684
TRIREDRAFT_37933	K15217
TRIREDRAFT_3803	K14408
TRIREDRAFT_3817	K20474
TRIREDRAFT_3830	K11229
TRIREDRAFT_3835	K07513
TRIREDRAFT_38372	K15454
TRIREDRAFT_3847	K03593
TRIREDRAFT_38767	K00565
TRIREDRAFT_38781	K06709
TRIREDRAFT_38812	K14685
TRIREDRAFT_38833	K18164
TRIREDRAFT_3891	K14828
TRIREDRAFT_3892	K14288
TRIREDRAFT_3909	K17424
TRIREDRAFT_39285	K11393
TRIREDRAFT_39387	K06664
TRIREDRAFT_3949	K05727
TRIREDRAFT_39588	K22745
TRIREDRAFT_39942	K01199
TRIREDRAFT_4004	K09272
TRIREDRAFT_40053	K14307
TRIREDRAFT_40074	K01100
TRIREDRAFT_4009	K00026
TRIREDRAFT_40199	K01438
TRIREDRAFT_40216	K22733
TRIREDRAFT_40250	K13346
TRIREDRAFT_40298	K23735
TRIREDRAFT_40343	K15077
TRIREDRAFT_40346	K10563
TRIREDRAFT_4040	K03025
TRIREDRAFT_4064	K01754
TRIREDRAFT_4069	K18660
TRIREDRAFT_40758	K00547
TRIREDRAFT_40814	K19307
TRIREDRAFT_40914	K06963
TRIREDRAFT_40945	K03660
TRIREDRAFT_4104	K25365
TRIREDRAFT_41111	K15128
TRIREDRAFT_4117	K00143
TRIREDRAFT_41178	K09885
TRIREDRAFT_4136	K15172
TRIREDRAFT_41428	K18045
TRIREDRAFT_41504	K06133
TRIREDRAFT_4152	K01951
TRIREDRAFT_4154	K17663
TRIREDRAFT_41546	K11552
TRIREDRAFT_41590	K22736
TRIREDRAFT_4170	K24755
TRIREDRAFT_41719	K06201
TRIREDRAFT_41761	K22736
TRIREDRAFT_41895	K00799
TRIREDRAFT_4196	K03661
TRIREDRAFT_42027	K25576
TRIREDRAFT_4213	K01166
TRIREDRAFT_42181	K14849
TRIREDRAFT_42193	K07252
TRIREDRAFT_42249	K12412
TRIREDRAFT_42301	K18588
TRIREDRAFT_4231	K09184
TRIREDRAFT_4244	K14807
TRIREDRAFT_4265	K03469
TRIREDRAFT_42825	K01489
TRIREDRAFT_4284	K02906
TRIREDRAFT_42866	K17362
TRIREDRAFT_42915	K17421
TRIREDRAFT_42919	K02927
TRIREDRAFT_4294	K14794
TRIREDRAFT_43071	K21752
TRIREDRAFT_43191	K26384
TRIREDRAFT_43195	K11511
TRIREDRAFT_43225	K12622
TRIREDRAFT_43236	K00419
TRIREDRAFT_43268	K12876
TRIREDRAFT_43269	K09102
TRIREDRAFT_43347	K11568
TRIREDRAFT_43599	K23481
TRIREDRAFT_43615	K03237
TRIREDRAFT_43618	K15175
TRIREDRAFT_43649	K09496
TRIREDRAFT_4366	K02605
TRIREDRAFT_43662	K01923
TRIREDRAFT_43664	K00963
TRIREDRAFT_43671	K03320
TRIREDRAFT_43680	K12833
TRIREDRAFT_4370	K24121
TRIREDRAFT_43814	K02921
TRIREDRAFT_43831	K14802
TRIREDRAFT_43873	K01183
TRIREDRAFT_43877	K18442
TRIREDRAFT_43884	K03939
TRIREDRAFT_43906	K02865
TRIREDRAFT_43961	K15206
TRIREDRAFT_43974	K15275
TRIREDRAFT_44035	K19829
TRIREDRAFT_44038	K00627
TRIREDRAFT_44041	K03934
TRIREDRAFT_44097	K04499
TRIREDRAFT_44175	K08178
TRIREDRAFT_4421	K00604
TRIREDRAFT_44214	K05972
TRIREDRAFT_44251	K19953
TRIREDRAFT_44330	K18670
TRIREDRAFT_44386	K02895
TRIREDRAFT_44389	K03189
TRIREDRAFT_44399	K13094
TRIREDRAFT_4442	K23010
TRIREDRAFT_44434	K02930
TRIREDRAFT_44449	K11131
TRIREDRAFT_44459	K10755
TRIREDRAFT_44476	K05665
TRIREDRAFT_44488	K12882
TRIREDRAFT_44492	K11518
TRIREDRAFT_44504	K10355
TRIREDRAFT_44529	K00693
TRIREDRAFT_44624	K18338
TRIREDRAFT_44628	K01556
TRIREDRAFT_44725	K13996
TRIREDRAFT_44781	K11313
TRIREDRAFT_4479	K11096
TRIREDRAFT_4480	K00863
TRIREDRAFT_44814	K26750
TRIREDRAFT_44849	K12493
TRIREDRAFT_44868	K16369
TRIREDRAFT_44878	K13024
TRIREDRAFT_44928	K01934
TRIREDRAFT_44960	K12860
TRIREDRAFT_44987	K07750
TRIREDRAFT_45018	K04441
TRIREDRAFT_4508	K23678
TRIREDRAFT_45138	K00381
TRIREDRAFT_45153	K02139
TRIREDRAFT_45242	K08852
TRIREDRAFT_45250	K10256
TRIREDRAFT_45252	K22721
TRIREDRAFT_45317	K03457
TRIREDRAFT_45343	K03325
TRIREDRAFT_4537	K01872
TRIREDRAFT_45445	K00505
TRIREDRAFT_45456	K17541
TRIREDRAFT_45459	K00826
TRIREDRAFT_45476	K08504
TRIREDRAFT_45595	K06691
TRIREDRAFT_45604	K07937
TRIREDRAFT_45675	K17757
TRIREDRAFT_45689	K08773
TRIREDRAFT_45717	K01230
TRIREDRAFT_45732	K12669
TRIREDRAFT_45736	K14753
TRIREDRAFT_45748	K16536
TRIREDRAFT_45775	K20046
TRIREDRAFT_45841	K03115
TRIREDRAFT_45852	K08176
TRIREDRAFT_45912	K02920
TRIREDRAFT_4592	K10295
TRIREDRAFT_45980	K26935
TRIREDRAFT_45998	K12761
TRIREDRAFT_46057	K17662
TRIREDRAFT_4622	K00560
TRIREDRAFT_46238	K00789
TRIREDRAFT_46240	K24104
TRIREDRAFT_46244	K00295
TRIREDRAFT_46247	K14963
TRIREDRAFT_4626	K28063
TRIREDRAFT_46301	K06126
TRIREDRAFT_46320	K12621
TRIREDRAFT_46382	K24887
TRIREDRAFT_46421	K03854
TRIREDRAFT_46446	K20061
TRIREDRAFT_46463	K00654
TRIREDRAFT_46469	K04536
TRIREDRAFT_46490	K02960
TRIREDRAFT_46493	K13205
TRIREDRAFT_4654	K14152
TRIREDRAFT_46545	K00211
TRIREDRAFT_46582	K14574
TRIREDRAFT_46597	K28063
TRIREDRAFT_46607	K14766
TRIREDRAFT_46613	K26753
TRIREDRAFT_46619	K03257
TRIREDRAFT_4663	K15183
TRIREDRAFT_46639	K20359
TRIREDRAFT_4668	K02259
TRIREDRAFT_46702	K15030
TRIREDRAFT_46708	K19691
TRIREDRAFT_46794	K03305
TRIREDRAFT_46816	K05349
TRIREDRAFT_46862	K17498
TRIREDRAFT_46882	K23292
TRIREDRAFT_46902	K16230
TRIREDRAFT_46936	K00065
TRIREDRAFT_46958	K03231
TRIREDRAFT_47020	K19996
TRIREDRAFT_47049	K20522
TRIREDRAFT_47055	K04392
TRIREDRAFT_47066	K00958
TRIREDRAFT_4707	K10589
TRIREDRAFT_47127	K01268
TRIREDRAFT_47136	K23856
TRIREDRAFT_47153	K18106
TRIREDRAFT_47175	K14209
TRIREDRAFT_4721	K07870
TRIREDRAFT_47221	K00940
TRIREDRAFT_4726	K10437
TRIREDRAFT_47268	K05349
TRIREDRAFT_47290	K20028
TRIREDRAFT_47315	K01530
TRIREDRAFT_47420	K09828
TRIREDRAFT_47424	K23504
TRIREDRAFT_47432	K00323
TRIREDRAFT_4744	K00616
TRIREDRAFT_47479	K09241
